feature,log2FC,pval,padj,class,Species.Name,Molecular.Species.Name,Structural.Species.Name,Level,networkId,GATOM.abbr
PA(38:4),-0.08342642773682532,0.43788023489635686,0.5521986178996016,PA,PA 38:4,NA,NA,SPECIES,PA,PA(38:4)
PA(38:5),-0.4483526063487894,0.04840749513324518,0.1307715300153874,PA,PA 38:5,NA,NA,SPECIES,PA,PA(38:5)
PA(38:6),7.205640338014234e-4,0.9945614404377574,0.9945614404377574,PA,PA 38:6,NA,NA,SPECIES,PA,PA(38:6)
PA(40:4),1.4498842226117485,0.011972934063778536,0.06113894140034284,PA,PA 40:4,NA,NA,SPECIES,PA,PA(40:4)
PA(40:5),0.5806786946245611,0.131287490805763,0.2500934243870344,PA,PA 40:5,NA,NA,SPECIES,PA,PA(40:5)
PA(40:6),0.26694419645142314,0.17636809441292972,0.3019466426499841,PA,PA 40:6,NA,NA,SPECIES,PA,PA(40:6)
PA(40:7),0.3306740973490357,0.1382830701029209,0.25708295850749213,PA,PA 40:7,NA,NA,SPECIES,PA,PA(40:7)
PC(28:0),0.5572754967785714,0.11896841472618722,0.23235347424861835,PC,PC 28:0,NA,NA,SPECIES,PC,PC(28:0)
PC(30:0),0.6225173435938257,0.15842732693100112,0.28193810483444603,PC,PC 30:0,NA,NA,SPECIES,PC,PC(30:0)
PC(30:1),0.13412155607087617,0.6525045788316927,0.7364967137374047,PC,PC 30:1,NA,NA,SPECIES,PC,PC(30:1)
PC(32:0),0.5289758517633076,0.09157437056537597,0.1952014740479652,PC,PC 32:0,NA,NA,SPECIES,PC,PC(32:0)
PC(32:1),-0.2616862377381038,0.38552944698804936,0.5050155709940307,PC,PC 32:1,NA,NA,SPECIES,PC,PC(32:1)
PC(32:2),-0.0316104720280814,0.9474251854081183,0.9652674676191939,PC,PC 32:2,NA,NA,SPECIES,PC,PC(32:2)
PC(32:3),1.6184109709438668,0.5688946572878544,0.6630339557408121,PC,PC 32:3,NA,NA,SPECIES,PC,PC(32:3)
PC(34:0),0.47628476724927565,0.029511593570471978,0.10076058214292274,PC,PC 34:0,NA,NA,SPECIES,PC,PC(34:0)
PC(34:1),0.18880681017339235,0.5092131870943631,0.6069880224513247,PC,PC 34:1,NA,NA,SPECIES,PC,PC(34:1)
PC(34:2),-0.037073686346173064,0.7196545125946645,0.793909230428177,PC,PC 34:2,NA,NA,SPECIES,PC,PC(34:2)
